Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
HOU,HOU vs. SAS,12/22/2018,,W,240,108,37,95,38.9,19,54,35.2,15,21,71.4,19,39,58,22,4,3,9,18
SAS,SAS @ HOU,12/22/2018,,L,240,101,42,88,47.7,10,24,41.7,7,11,63.6,5,38,43,24,3,9,9,17
LAC,LAC vs. DEN,12/22/2018,,W,240,132,53,92,57.6,10,20,50.0,16,17,94.1,13,43,56,28,7,5,18,23
DEN,DEN @ LAC,12/22/2018,,L,240,111,41,97,42.3,9,31,29.0,20,25,80.0,13,24,37,21,10,5,9,16
GSW,GSW vs. DAL,12/22/2018,,W,240,120,45,98,45.9,15,43,34.9,15,16,93.8,15,39,54,34,7,7,13,23
DAL,DAL @ GSW,12/22/2018,,L,240,116,42,92,45.7,14,39,35.9,18,28,64.3,11,35,46,28,9,3,14,14
TOR,TOR @ PHI,12/22/2018,,L,240,101,37,95,38.9,10,40,25.0,17,19,89.5,8,33,41,17,5,2,15,24
PHI,PHI vs. TOR,12/22/2018,,W,240,126,46,85,54.1,8,24,33.3,26,35,74.3,4,49,53,33,10,7,13,21
CLE,CLE @ TOR,12/21/2018,,L,240,110,39,82,47.6,9,24,37.5,23,30,76.7,11,29,40,20,5,5,11,23
TOR,TOR vs. CLE,12/21/2018,,W,240,126,48,91,52.7,9,31,29.0,21,26,80.8,13,31,44,21,9,5,9,23
DET,DET @ CHA,12/21/2018,,L,240,86,32,82,39.0,8,34,23.5,14,22,63.6,12,29,41,21,8,5,16,22
CHA,CHA vs. DET,12/21/2018,,W,240,98,33,75,44.0,12,24,50.0,20,28,71.4,11,32,43,19,7,5,18,23
SAC,SAC vs. MEM,12/21/2018,,W,240,102,33,88,37.5,15,41,36.6,21,29,72.4,12,30,42,25,10,5,10,15
MEM,MEM @ SAC,12/21/2018,,L,240,99,37,80,46.3,16,32,50.0,9,10,90.0,8,36,44,24,7,8,18,25
UTA,UTA @ POR,12/21/2018,,W,240,120,47,85,55.3,16,31,51.6,10,17,58.8,6,36,42,35,7,6,15,21
POR,POR vs. UTA,12/21/2018,,L,240,90,35,87,40.2,10,32,31.3,10,18,55.6,13,29,42,17,8,6,14,16
BOS,BOS vs. MIL,12/21/2018,,L,240,107,35,91,38.5,10,34,29.4,27,36,75.0,9,27,36,22,13,3,5,16
MIL,MIL @ BOS,12/21/2018,,W,240,120,41,80,51.3,16,40,40.0,22,28,78.6,11,44,55,26,3,6,21,30
IND,IND @ BKN,12/21/2018,,W,240,114,44,82,53.7,11,26,42.3,15,18,83.3,6,23,29,24,10,8,12,26
BKN,BKN vs. IND,12/21/2018,,L,240,106,33,72,45.8,16,31,51.6,24,34,70.6,11,30,41,28,5,3,22,23
ATL,ATL @ NYK,12/21/2018,,W,240,114,43,91,47.3,10,29,34.5,18,24,75.0,15,39,54,29,4,1,16,18
NYK,NYK vs. ATL,12/21/2018,,L,240,107,41,84,48.8,8,27,29.6,17,24,70.8,4,31,35,20,8,3,13,22
ORL,ORL @ CHI,12/21/2018,,L,240,80,28,86,32.6,8,33,24.2,16,24,66.7,13,34,47,20,4,5,9,22
CHI,CHI vs. ORL,12/21/2018,,W,240,90,33,75,44.0,5,17,29.4,19,26,73.1,9,41,50,23,5,6,10,21
NOP,NOP @ LAL,12/21/2018,,L,240,104,44,102,43.1,8,27,29.6,8,16,50.0,14,39,53,27,8,6,13,24
LAL,LAL vs. NOP,12/21/2018,,W,240,112,43,92,46.7,8,32,25.0,18,25,72.0,8,40,48,28,7,4,13,17
MIN,MIN @ SAS,12/21/2018,,L,240,98,33,83,39.8,6,21,28.6,26,31,83.9,9,30,39,19,11,5,12,19
SAS,SAS vs. MIN,12/21/2018,,W,240,124,46,87,52.9,19,33,57.6,13,18,72.2,11,39,50,36,7,3,16,22
MIA,MIA vs. HOU,12/20/2018,,W,240,101,36,93,38.7,9,39,23.1,20,34,58.8,20,41,61,22,6,4,9,18
HOU,HOU @ MIA,12/20/2018,,L,240,99,29,82,35.4,18,54,33.3,23,30,76.7,8,33,41,20,6,3,8,23
LAC,LAC vs. DAL,12/20/2018,,W,240,125,47,83,56.6,6,20,30.0,25,31,80.6,11,29,40,26,5,5,12,25
DAL,DAL @ LAC,12/20/2018,,L,240,121,43,92,46.7,10,28,35.7,25,33,75.8,16,29,45,24,8,0,12,30
IND,IND @ TOR,12/19/2018,,L,240,96,38,80,47.5,9,20,45.0,11,16,68.8,9,40,49,19,6,7,23,21
TOR,TOR vs. IND,12/19/2018,,W,240,99,38,93,40.9,7,30,23.3,16,21,76.2,11,32,43,20,15,9,9,19
CLE,CLE @ CHA,12/19/2018,,L,240,99,41,85,48.2,10,23,43.5,7,12,58.3,4,31,35,24,8,6,9,18
CHA,CHA vs. CLE,12/19/2018,,W,240,110,47,92,51.1,10,25,40.0,6,9,66.7,13,38,51,24,4,5,13,14
DET,DET @ MIN,12/19/2018,,W,265,129,46,94,48.9,20,48,41.7,17,28,60.7,8,36,44,26,3,2,13,25
MIN,MIN vs. DET,12/19/2018,,L,265,123,45,103,43.7,9,33,27.3,24,29,82.8,11,38,49,22,8,4,7,27
SAC,SAC vs. OKC,12/19/2018,,L,240,113,39,93,41.9,13,34,38.2,22,33,66.7,10,33,43,28,7,5,13,18
OKC,OKC @ SAC,12/19/2018,,W,240,132,51,102,50.0,13,32,40.6,17,27,63.0,18,48,66,27,8,6,18,24
NOP,NOP @ MIL,12/19/2018,,L,240,115,43,92,46.7,19,42,45.2,10,15,66.7,7,34,41,28,6,7,15,22
MIL,MIL vs. NOP,12/19/2018,,W,240,123,43,85,50.6,13,33,39.4,24,30,80.0,9,39,48,26,11,3,14,18
GSW,GSW @ UTA,12/19/2018,,L,240,103,38,95,40.0,10,31,32.3,17,18,94.4,10,38,48,18,10,9,12,21
UTA,UTA vs. GSW,12/19/2018,,W,240,108,37,93,39.8,16,42,38.1,18,22,81.8,10,42,52,30,7,6,16,16
MEM,MEM @ POR,12/19/2018,,L,240,92,33,78,42.3,9,27,33.3,17,19,89.5,11,25,36,22,12,10,14,21
POR,POR vs. MEM,12/19/2018,,W,240,99,35,75,46.7,11,26,42.3,18,20,90.0,12,31,43,16,9,4,21,23
HOU,HOU vs. WAS,12/19/2018,,W,240,136,47,85,55.3,26,55,47.3,16,21,76.2,8,33,41,30,8,2,17,21
WAS,WAS @ HOU,12/19/2018,,L,240,118,45,84,53.6,10,30,33.3,18,23,78.3,4,27,31,28,8,2,11,15
ORL,ORL vs. SAS,12/19/2018,,L,240,90,34,89,38.2,12,31,38.7,10,17,58.8,11,22,33,19,5,3,13,18
SAS,SAS @ ORL,12/19/2018,,W,240,129,50,77,64.9,12,19,63.2,17,21,81.0,4,41,45,29,5,4,11,15
BOS,BOS vs. PHX,12/19/2018,,L,240,103,38,85,44.7,15,39,38.5,12,14,85.7,9,28,37,26,13,15,16,17
PHX,PHX @ BOS,12/19/2018,,W,240,111,41,96,42.7,11,27,40.7,18,22,81.8,21,35,56,23,8,6,17,19
CHI,CHI vs. BKN,12/19/2018,,L,240,93,40,91,44.0,6,19,31.6,7,10,70.0,9,30,39,21,7,5,9,22
BKN,BKN @ CHI,12/19/2018,,W,240,96,34,74,45.9,8,25,32.0,20,25,80.0,7,38,45,23,3,2,14,14
PHI,PHI vs. NYK,12/19/2018,,W,240,131,47,88,53.4,15,30,50.0,22,25,88.0,9,42,51,31,6,4,10,22
NYK,NYK @ PHI,12/19/2018,,L,240,109,37,86,43.0,10,31,32.3,25,31,80.6,4,31,35,22,2,2,8,19
DAL,DAL @ DEN,12/18/2018,,L,240,118,40,86,46.5,15,37,40.5,23,30,76.7,6,27,33,26,8,1,8,17
DEN,DEN vs. DAL,12/18/2018,,W,240,126,50,90,55.6,12,29,41.4,14,18,77.8,12,35,47,33,7,3,16,28
WAS,WAS @ ATL,12/18/2018,,L,240,110,36,83,43.4,13,40,32.5,25,36,69.4,9,28,37,26,14,1,15,32
ATL,ATL vs. WAS,12/18/2018,,W,240,118,37,79,46.8,12,32,37.5,32,39,82.1,13,36,49,23,4,5,24,29
CLE,CLE @ IND,12/18/2018,,W,240,92,38,91,41.8,6,31,19.4,10,13,76.9,12,39,51,19,7,5,12,16
IND,IND vs. CLE,12/18/2018,,L,240,91,37,93,39.8,4,22,18.2,13,21,61.9,14,38,52,21,7,9,9,12
BKN,BKN vs. LAL,12/18/2018,,W,240,115,44,91,48.4,14,34,41.2,13,19,68.4,4,36,40,27,5,4,12,18
LAL,LAL @ BKN,12/18/2018,,L,240,110,42,90,46.7,13,40,32.5,13,23,56.5,8,40,48,21,6,4,14,19
OKC,OKC vs. CHI,12/17/2018,,W,240,121,43,89,48.3,8,21,38.1,27,33,81.8,17,32,49,24,14,2,20,21
CHI,CHI @ OKC,12/17/2018,,L,240,96,38,85,44.7,8,22,36.4,12,16,75.0,13,28,41,20,10,7,25,31
MIN,MIN vs. SAC,12/17/2018,,W,240,132,48,96,50.0,10,27,37.0,26,30,86.7,11,47,58,37,10,7,11,24
SAC,SAC @ MIN,12/17/2018,,L,240,105,38,90,42.2,14,38,36.8,15,23,65.2,6,32,38,20,5,4,15,27
MIL,MIL @ DET,12/17/2018,,W,240,107,44,88,50.0,9,25,36.0,10,15,66.7,5,32,37,33,8,10,11,19
DET,DET vs. MIL,12/17/2018,,L,240,104,39,88,44.3,14,35,40.0,12,15,80.0,10,35,45,25,3,2,16,20
HOU,HOU vs. UTA,12/17/2018,,W,240,102,32,86,37.2,12,37,32.4,26,31,83.9,9,30,39,16,13,7,17,24
UTA,UTA @ HOU,12/17/2018,,L,240,97,32,82,39.0,10,35,28.6,23,31,74.2,11,41,52,23,9,4,24,25
LAC,LAC vs. POR,12/17/2018,,L,240,127,42,83,50.6,10,27,37.0,33,39,84.6,8,29,37,27,5,1,12,23
POR,POR @ LAC,12/17/2018,,W,240,131,47,86,54.7,10,20,50.0,27,31,87.1,6,27,33,26,5,4,11,32
PHX,PHX @ NYK,12/17/2018,,W,240,128,48,92,52.2,9,27,33.3,23,27,85.2,4,40,44,27,8,5,7,20
NYK,NYK vs. PHX,12/17/2018,,L,240,110,40,99,40.4,9,35,25.7,21,29,72.4,16,34,50,15,5,0,11,21
SAS,SAS vs. PHI,12/17/2018,,W,240,123,49,87,56.3,9,23,39.1,16,17,94.1,4,41,45,28,5,9,7,14
PHI,PHI @ SAS,12/17/2018,,L,240,96,40,98,40.8,11,37,29.7,5,7,71.4,12,29,41,29,3,5,11,15
MEM,MEM @ GSW,12/17/2018,,L,240,93,36,79,45.6,7,25,28.0,14,18,77.8,2,39,41,24,6,4,16,23
GSW,GSW vs. MEM,12/17/2018,,W,240,110,37,85,43.5,12,31,38.7,24,27,88.9,6,36,42,23,10,5,10,19
NOP,NOP vs. MIA,12/16/2018,,L,240,96,35,86,40.7,13,36,36.1,13,17,76.5,11,27,38,26,12,5,11,22
MIA,MIA @ NOP,12/16/2018,,W,240,102,38,91,41.8,10,35,28.6,16,23,69.6,22,35,57,22,6,4,19,21
LAL,LAL @ WAS,12/16/2018,,L,240,110,44,91,48.4,11,36,30.6,11,18,61.1,8,35,43,24,10,6,22,13
WAS,WAS vs. LAL,12/16/2018,,W,240,128,54,106,50.9,13,31,41.9,7,10,70.0,15,36,51,30,14,5,17,13
TOR,TOR @ DEN,12/16/2018,,L,240,86,35,88,39.8,7,35,20.0,9,14,64.3,13,38,51,13,5,4,12,16
DEN,DEN vs. TOR,12/16/2018,,W,240,95,36,85,42.4,10,30,33.3,13,16,81.3,10,34,44,21,7,4,9,14
DAL,DAL vs. SAC,12/16/2018,,L,240,113,40,96,41.7,9,35,25.7,24,31,77.4,16,37,53,22,6,5,14,18
SAC,SAC @ DAL,12/16/2018,,W,240,120,46,98,46.9,9,31,29.0,19,21,90.5,11,36,47,20,6,7,9,26
IND,IND vs. NYK,12/16/2018,,W,240,110,40,87,46.0,12,34,35.3,18,23,78.3,11,34,45,28,9,4,13,18
NYK,NYK @ IND,12/16/2018,,L,240,99,37,89,41.6,10,32,31.3,15,22,68.2,13,31,44,21,7,1,17,19
CLE,CLE vs. PHI,12/16/2018,,L,240,105,41,88,46.6,12,30,40.0,11,17,64.7,6,27,33,28,8,0,12,20
PHI,PHI @ CLE,12/16/2018,,W,240,128,51,91,56.0,11,27,40.7,15,20,75.0,12,36,48,32,5,9,11,18
BKN,BKN vs. ATL,12/16/2018,,W,240,144,49,88,55.7,16,40,40.0,30,33,90.9,10,29,39,34,12,3,13,21
ATL,ATL @ BKN,12/16/2018,,L,240,127,47,85,55.3,14,29,48.3,19,25,76.0,8,25,33,38,9,5,14,22
OKC,OKC vs. LAC,12/15/2018,,W,240,110,42,90,46.7,9,22,40.9,17,24,70.8,9,31,40,26,13,7,12,20
LAC,LAC @ OKC,12/15/2018,,L,240,104,38,75,50.7,13,25,52.0,15,22,68.2,6,38,44,18,7,4,26,22
HOU,HOU @ MEM,12/15/2018,,W,240,105,35,73,47.9,13,37,35.1,22,25,88.0,6,30,36,23,5,2,14,22
MEM,MEM vs. HOU,12/15/2018,,L,240,97,40,75,53.3,5,23,21.7,12,17,70.6,6,29,35,20,8,6,15,22
CHA,CHA vs. LAL,12/15/2018,,L,240,100,39,92,42.4,7,29,24.1,15,18,83.3,9,29,38,22,3,6,18,19
LAL,LAL @ CHA,12/15/2018,,W,240,128,49,92,53.3,14,34,41.2,16,24,66.7,10,42,52,34,12,6,16,20
BOS,BOS @ DET,12/15/2018,,L,240,104,39,94,41.5,9,33,27.3,17,23,73.9,12,32,44,19,11,4,14,25
DET,DET vs. BOS,12/15/2018,,W,240,113,39,80,48.8,10,30,33.3,25,35,71.4,10,38,48,25,10,7,20,21
UTA,UTA @ ORL,12/15/2018,,L,240,89,28,89,31.5,7,29,24.1,26,28,92.9,11,31,42,17,13,4,10,19
ORL,ORL vs. UTA,12/15/2018,,W,240,96,34,72,47.2,11,24,45.8,17,20,85.0,4,44,48,18,7,10,22,27
PHX,PHX vs. MIN,12/15/2018,,W,240,107,41,90,45.6,9,28,32.1,16,20,80.0,11,40,51,30,6,7,16,22
MIN,MIN @ PHX,12/15/2018,,L,240,99,39,96,40.6,7,35,20.0,14,19,73.7,11,30,41,26,10,4,11,19
SAS,SAS vs. CHI,12/15/2018,,L,240,93,32,73,43.8,7,21,33.3,22,26,84.6,7,34,41,18,3,5,15,18
CHI,CHI @ SAS,12/15/2018,,W,240,98,37,86,43.0,6,29,20.7,18,21,85.7,8,32,40,16,12,8,9,20
MIA,MIA @ MEM,12/14/2018,,W,240,100,36,82,43.9,15,39,38.5,13,18,72.2,14,36,50,30,3,8,17,20
MEM,MEM vs. MIA,12/14/2018,,L,240,97,35,83,42.2,8,29,27.6,19,25,76.0,10,24,34,21,9,5,8,18
CHA,CHA vs. NYK,12/14/2018,,L,265,124,48,102,47.1,20,48,41.7,8,10,80.0,9,42,51,38,7,5,16,23
NYK,NYK @ CHA,12/14/2018,,W,265,126,47,98,48.0,12,34,35.3,20,31,64.5,9,37,46,27,11,8,10,16
OKC,OKC @ DEN,12/14/2018,,L,240,98,37,90,41.1,7,19,36.8,17,29,58.6,19,24,43,14,9,4,13,17
DEN,DEN vs. OKC,12/14/2018,,W,240,109,42,83,50.6,11,34,32.4,14,15,93.3,12,36,48,29,8,6,20,24
GSW,GSW @ SAC,12/14/2018,,W,240,130,44,96,45.8,15,40,37.5,27,36,75.0,15,45,60,32,5,0,18,23
SAC,SAC vs. GSW,12/14/2018,,L,240,125,45,96,46.9,15,44,34.1,20,25,80.0,7,35,42,33,6,3,13,28
POR,POR vs. TOR,12/14/2018,,W,240,128,48,94,51.1,13,27,48.1,19,21,90.5,12,26,38,29,10,4,8,15
TOR,TOR @ POR,12/14/2018,,L,240,122,43,78,55.1,18,31,58.1,18,21,85.7,6,31,37,20,4,4,17,21
MIL,MIL @ CLE,12/14/2018,,W,240,114,40,94,42.6,12,41,29.3,22,28,78.6,14,39,53,26,9,6,11,17
CLE,CLE vs. MIL,12/14/2018,,L,240,102,35,87,40.2,13,36,36.1,19,21,90.5,13,37,50,24,7,2,16,24
ATL,ATL @ BOS,12/14/2018,,L,240,108,36,86,41.9,16,38,42.1,20,32,62.5,16,28,44,27,10,5,24,19
BOS,BOS vs. ATL,12/14/2018,,W,240,129,46,95,48.4,19,39,48.7,18,20,90.0,13,34,47,28,15,9,22,21
WAS,WAS @ BKN,12/14/2018,,L,240,118,49,90,54.4,11,29,37.9,9,16,56.3,4,22,26,30,3,3,9,24
BKN,BKN vs. WAS,12/14/2018,,W,240,125,44,84,52.4,11,31,35.5,26,31,83.9,9,36,45,34,5,3,10,17
IND,IND @ PHI,12/14/2018,,W,240,113,42,95,44.2,8,20,40.0,21,24,87.5,11,36,47,33,7,2,7,22
PHI,PHI vs. IND,12/14/2018,,L,240,101,36,88,40.9,9,36,25.0,20,27,74.1,17,32,49,17,5,5,16,21
LAL,LAL @ HOU,12/13/2018,,L,240,111,43,80,53.8,10,32,31.3,15,27,55.6,7,24,31,23,9,5,13,21
HOU,HOU vs. LAL,12/13/2018,,W,240,126,42,85,49.4,15,34,44.1,27,32,84.4,15,28,43,24,8,2,14,24
ORL,ORL vs. CHI,12/13/2018,,W,240,97,34,82,41.5,11,33,33.3,18,23,78.3,9,34,43,23,8,6,16,16
CHI,CHI @ ORL,12/13/2018,,L,240,91,34,71,47.9,10,18,55.6,13,20,65.0,1,32,33,18,10,4,18,23
DAL,DAL @ PHX,12/13/2018,,L,240,89,31,78,39.7,5,33,15.2,22,33,66.7,14,39,53,14,7,4,23,19
PHX,PHX vs. DAL,12/13/2018,,W,240,99,37,92,40.2,10,27,37.0,15,18,83.3,12,28,40,20,15,5,13,27
SAS,SAS vs. LAC,12/13/2018,,W,240,125,48,83,57.8,10,22,45.5,19,24,79.2,8,39,47,25,10,7,11,20
LAC,LAC @ SAS,12/13/2018,,L,240,87,30,84,35.7,10,31,32.3,17,24,70.8,13,29,42,21,4,1,17,18
NOP,NOP vs. OKC,12/12/2018,,W,240,118,45,97,46.4,4,18,22.2,24,30,80.0,17,39,56,29,14,3,18,27
OKC,OKC @ NOP,12/12/2018,,L,240,114,42,87,48.3,13,43,30.2,17,27,63.0,9,30,39,23,10,6,18,27
MEM,MEM vs. POR,12/12/2018,,W,240,92,34,82,41.5,8,24,33.3,16,24,66.7,9,42,51,19,9,10,13,22
POR,POR @ MEM,12/12/2018,,L,240,83,32,87,36.8,6,22,27.3,13,16,81.3,4,40,44,15,11,9,14,19
WAS,WAS vs. BOS,12/12/2018,,L,265,125,46,91,50.5,12,33,36.4,21,29,72.4,8,33,41,25,7,4,15,27
BOS,BOS @ WAS,12/12/2018,,W,265,130,47,104,45.2,11,38,28.9,25,25,100,14,36,50,20,6,2,14,19
DET,DET @ CHA,12/12/2018,,L,240,107,40,86,46.5,13,34,38.2,14,21,66.7,10,39,49,23,4,10,14,26
CHA,CHA vs. DET,12/12/2018,,W,240,108,35,85,41.2,9,28,32.1,29,37,78.4,6,36,42,21,7,5,7,17
SAC,SAC vs. MIN,12/12/2018,,W,240,141,50,86,58.1,19,38,50.0,22,32,68.8,9,29,38,34,3,6,11,21
MIN,MIN @ SAC,12/12/2018,,L,240,130,50,93,53.8,9,22,40.9,21,27,77.8,12,27,39,30,4,4,11,24
DAL,DAL vs. ATL,12/12/2018,,W,240,114,35,75,46.7,12,34,35.3,32,43,74.4,4,32,36,22,13,5,14,16
ATL,ATL @ DAL,12/12/2018,,L,240,107,43,93,46.2,11,33,33.3,10,14,71.4,16,28,44,21,7,2,21,30
IND,IND vs. MIL,12/12/2018,,W,240,113,43,91,47.3,12,30,40.0,15,20,75.0,14,40,54,31,7,4,16,13
MIL,MIL @ IND,12/12/2018,,L,240,97,38,91,41.8,11,43,25.6,10,15,66.7,9,34,43,22,6,6,13,18
UTA,UTA vs. MIA,12/12/2018,,W,240,111,40,76,52.6,16,32,50.0,15,21,71.4,7,45,52,29,6,4,17,19
MIA,MIA @ UTA,12/12/2018,,L,240,84,29,77,37.7,12,33,36.4,14,24,58.3,2,28,30,16,10,2,13,22
NYK,NYK @ CLE,12/12/2018,,L,240,106,41,94,43.6,11,27,40.7,13,14,92.9,9,34,43,21,7,7,12,18
CLE,CLE vs. NYK,12/12/2018,,W,240,113,43,91,47.3,10,34,29.4,17,21,81.0,12,39,51,19,7,4,13,18
GSW,GSW vs. TOR,12/12/2018,,L,240,93,39,82,47.6,6,26,23.1,9,13,69.2,5,35,40,28,5,11,19,18
TOR,TOR @ GSW,12/12/2018,,W,240,113,44,91,48.4,9,28,32.1,16,19,84.2,10,38,48,27,12,3,11,17
PHI,PHI vs. BKN,12/12/2018,,L,240,124,50,91,54.9,12,28,42.9,12,16,75.0,10,27,37,31,11,3,17,30
BKN,BKN @ PHI,12/12/2018,,W,240,127,38,74,51.4,14,28,50.0,37,43,86.0,7,30,37,20,10,1,17,23
HOU,HOU vs. POR,12/11/2018,,W,240,111,42,85,49.4,9,29,31.0,18,27,66.7,12,30,42,22,9,5,7,21
POR,POR @ HOU,12/11/2018,,L,240,104,38,87,43.7,10,25,40.0,18,21,85.7,13,31,44,20,1,4,14,17
LAC,LAC vs. TOR,12/11/2018,,L,240,99,38,86,44.2,7,25,28.0,16,19,84.2,12,32,44,25,2,5,16,16
TOR,TOR @ LAC,12/11/2018,,W,240,123,50,96,52.1,14,29,48.3,9,12,75.0,10,33,43,34,8,6,9,22
SAS,SAS vs. PHX,12/11/2018,,W,240,111,41,83,49.4,13,21,61.9,16,19,84.2,8,38,46,28,7,2,15,15
PHX,PHX @ SAS,12/11/2018,,L,240,86,33,82,40.2,8,28,28.6,12,14,85.7,8,32,40,19,7,5,17,22
OKC,OKC vs. UTA,12/10/2018,,W,240,122,43,85,50.6,8,21,38.1,28,39,71.8,12,31,43,25,12,2,18,26
UTA,UTA @ OKC,12/10/2018,,L,240,113,43,84,51.2,8,29,27.6,19,30,63.3,11,34,45,30,11,4,20,28
MEM,MEM @ DEN,12/10/2018,,L,240,99,37,74,50.0,9,27,33.3,16,17,94.1,6,28,34,22,7,4,14,19
DEN,DEN vs. MEM,12/10/2018,,W,240,105,39,77,50.6,9,28,32.1,18,23,78.3,11,29,40,22,11,6,14,17
DAL,DAL vs. ORL,12/10/2018,,W,240,101,35,82,42.7,10,35,28.6,21,25,84.0,9,43,52,28,7,4,14,11
ORL,ORL @ DAL,12/10/2018,,L,240,76,32,89,36.0,8,28,28.6,4,5,80.0,7,35,42,18,8,2,16,18
CLE,CLE @ MIL,12/10/2018,,L,240,92,36,96,37.5,10,30,33.3,10,15,66.7,8,38,46,24,5,2,9,15
MIL,MIL vs. CLE,12/10/2018,,W,240,108,42,96,43.8,15,36,41.7,9,11,81.8,12,46,58,22,4,4,14,24
WAS,WAS @ IND,12/10/2018,,L,240,101,37,88,42.0,10,30,33.3,17,24,70.8,6,28,34,22,13,3,12,22
IND,IND vs. WAS,12/10/2018,,W,240,109,41,76,53.9,10,20,50.0,17,22,77.3,7,43,50,29,7,7,24,25
NOP,NOP @ BOS,12/10/2018,,L,240,100,39,87,44.8,8,26,30.8,14,19,73.7,6,33,39,28,11,1,13,19
BOS,BOS vs. NOP,12/10/2018,,W,240,113,44,90,48.9,12,39,30.8,13,19,68.4,14,37,51,23,8,5,15,21
PHX,PHX vs. LAC,12/10/2018,,L,265,119,47,94,50.0,9,25,36.0,16,20,80.0,10,30,40,31,14,8,15,29
LAC,LAC @ PHX,12/10/2018,,W,265,123,45,85,52.9,7,21,33.3,26,33,78.8,10,32,42,27,8,4,18,21
SAC,SAC @ CHI,12/10/2018,,W,240,108,40,88,45.5,16,37,43.2,12,15,80.0,10,32,42,28,16,4,18,15
CHI,CHI vs. SAC,12/10/2018,,L,240,89,34,76,44.7,8,28,28.6,13,13,100,7,33,40,16,10,3,27,17
LAL,LAL vs. MIA,12/10/2018,,W,240,108,41,90,45.6,14,32,43.8,12,20,60.0,12,34,46,24,9,7,12,10
MIA,MIA @ LAL,12/10/2018,,L,240,105,42,94,44.7,11,34,32.4,10,13,76.9,14,36,50,29,9,7,17,19
GSW,GSW vs. MIN,12/10/2018,,W,240,116,39,93,41.9,19,43,44.2,19,21,90.5,14,35,49,25,6,5,17,26
MIN,MIN @ GSW,12/10/2018,,L,240,108,38,83,45.8,7,25,28.0,25,31,80.6,9,33,42,28,5,6,16,18
DET,DET @ PHI,12/10/2018,,L,240,102,41,84,48.8,9,21,42.9,11,21,52.4,10,36,46,23,5,5,15,24
PHI,PHI vs. DET,12/10/2018,,W,240,116,39,88,44.3,15,37,40.5,23,35,65.7,16,32,48,27,9,5,14,19
MIL,MIL @ TOR,12/09/2018,,W,240,104,36,87,41.4,15,39,38.5,17,20,85.0,9,36,45,22,6,7,13,13
TOR,TOR vs. MIL,12/09/2018,,L,240,99,39,94,41.5,15,44,34.1,6,7,85.7,11,34,45,24,6,11,11,21
DET,DET vs. NOP,12/09/2018,,L,240,108,43,98,43.9,9,29,31.0,13,24,54.2,17,30,47,28,8,5,10,22
NOP,NOP @ DET,12/09/2018,,W,240,116,42,79,53.2,12,30,40.0,20,23,87.0,8,39,47,27,5,8,18,19
CHA,CHA @ NYK,12/09/2018,,W,240,119,42,87,48.3,12,34,35.3,23,27,85.2,6,36,42,19,11,4,12,17
NYK,NYK vs. CHA,12/09/2018,,L,240,107,44,93,47.3,13,26,50.0,6,7,85.7,8,33,41,28,5,2,17,25
SAS,SAS vs. UTA,12/09/2018,,W,240,110,47,89,52.8,5,14,35.7,11,12,91.7,10,36,46,26,7,7,11,15
UTA,UTA @ SAS,12/09/2018,,L,240,97,37,85,43.5,9,29,31.0,14,19,73.7,9,29,38,23,8,4,16,15
LAL,LAL @ MEM,12/08/2018,,W,240,111,43,97,44.3,16,40,40.0,9,12,75.0,19,38,57,27,11,6,18,22
MEM,MEM vs. LAL,12/08/2018,,L,240,88,34,84,40.5,6,30,20.0,14,18,77.8,9,27,36,17,13,7,15,19
DAL,DAL vs. HOU,12/08/2018,,W,240,107,41,83,49.4,12,30,40.0,13,16,81.3,14,30,44,21,9,3,17,14
HOU,HOU @ DAL,12/08/2018,,L,240,104,39,86,45.3,15,47,31.9,11,13,84.6,10,26,36,20,5,3,12,19
DEN,DEN @ ATL,12/08/2018,,L,240,98,36,97,37.1,9,36,25.0,17,21,81.0,11,37,48,28,11,4,15,16
ATL,ATL vs. DEN,12/08/2018,,W,240,106,40,93,43.0,15,42,35.7,11,16,68.8,9,42,51,33,9,11,18,23
IND,IND vs. SAC,12/08/2018,,W,240,107,40,92,43.5,8,30,26.7,19,22,86.4,15,37,52,26,7,8,17,17
SAC,SAC @ IND,12/08/2018,,L,240,97,38,90,42.2,9,32,28.1,12,15,80.0,12,31,43,24,9,8,14,21
MIN,MIN @ POR,12/08/2018,,L,240,105,40,91,44.0,7,16,43.8,18,22,81.8,10,30,40,25,12,7,12,23
POR,POR vs. MIN,12/08/2018,,W,240,113,39,83,47.0,10,33,30.3,25,30,83.3,14,39,53,23,10,9,20,20
CLE,CLE vs. WAS,12/08/2018,,W,240,116,47,89,52.8,15,31,48.4,7,10,70.0,12,37,49,26,5,5,9,20
WAS,WAS @ CLE,12/08/2018,,L,240,101,38,86,44.2,14,38,36.8,11,16,68.8,8,25,33,26,3,3,8,12
LAC,LAC vs. MIA,12/08/2018,,L,240,98,33,89,37.1,7,29,24.1,25,31,80.6,13,36,49,16,5,8,16,26
MIA,MIA @ LAC,12/08/2018,,W,240,121,40,92,43.5,13,39,33.3,28,39,71.8,14,43,57,27,9,6,11,24
NYK,NYK vs. BKN,12/08/2018,,L,240,104,39,83,47.0,8,26,30.8,18,30,60.0,9,31,40,22,8,2,13,18
